"year","no_cnip","total_persons","fips_county_code","fips_state_code","housing_units_total","no_vacant","no_poverty","no_white","no_black","no_native","no_asian","no_hispanic","no_unemployed"
"2013",12831,25382,"015","05",13514,2495,5101,25397,46,237,1165,3725,988
"2013",4262,10546,"017","05",5407,897,3592,4827,6291,71,379,573,557
"2013",10752,21298,"019","05",10373,2032,4912,16854,5509,26,212,951,1189
"2013",7224,14518,"021","05",8035,1221,3160,15378,35,31,119,242,902
"2013",10866,23935,"023","05",15766,5480,4003,25158,174,81,83,558,1180
"2013",3764,8006,"025","05",4049,703,1520,7375,1126,20,25,55,425
"2013",10954,22572,"027","05",11551,2102,5831,14740,8949,61,327,592,1257
"2013",9205,19439,"029","05",9704,1550,5037,18177,2497,179,64,788,949
"2013",47910,89940,"031","05",41257,3423,19542,81730,13317,374,1654,4438,4338
"2013",27933,56984,"033","05",26136,2768,12350,56307,849,1024,1632,3895,2393
"2013",23439,45951,"035","05",21511,3202,13122,23236,25497,47,891,1069,2782
"2013",8051,16240,"037","05",7856,1038,3042,13380,3924,58,149,280,778
"2013",3190,7468,"039","05",4288,1019,1498,4449,3326,9,249,199,307
"2013",5780,11576,"041","05",6259,954,3809,6196,6131,41,247,574,820
"2013",8732,17194,"043","05",8428,932,4999,12975,5290,12,224,487,1150
"2013",60307,106525,"045","05",47316,4903,16147,98484,12326,393,2353,4558,4469
"2013",7915,16618,"047","05",8006,1237,3632,17165,188,255,111,434,935
"2013",5110,11342,"049","05",6754,1614,2241,11915,22,51,128,124,541
"2013",43123,88492,"051","05",50391,10510,19558,82093,7978,579,4190,4791,4313
"2013",8602,16583,"053","05",7781,926,1752,17098,433,68,176,414,656
"2013",19165,38987,"055","05",18039,1436,7155,41228,299,165,270,993,1765
"2013",10184,20345,"057","05",10407,2111,6080,14850,6671,49,397,2739,973
"2013",14794,30642,"059","05",14270,2039,4458,28641,3803,131,104,989,1306
"2013",6552,12491,"061","05",6226,1018,3137,9473,2944,113,1119,1375,616
"2013",17058,33688,"063","05",16146,1602,8417,34774,986,226,324,2166,1527
"2013",5020,12668,"065","05",7206,1524,2402,12998,138,77,127,217,571
"2013",6522,16417,"067","05",7597,1056,4237,14320,2914,120,118,457,757
"2013",33493,69465,"069","05",33060,4693,16716,31830,41980,168,910,1270,4504
"2013",11059,23377,"071","05",11276,1230,4999,23919,474,170,570,3229,877
"2013",2948,6969,"073","05",4341,1619,1766,4624,2809,2,8,138,456
"2013",7056,15817,"075","05",7990,1410,4191,16795,132,51,8,179,672
"2013",3632,9427,"077","05",4368,877,2780,4372,5795,22,70,204,606
"2013",4826,13260,"079","05",4856,668,2869,9414,4115,67,303,481,818
"2013",5873,12010,"081","05",6451,1136,1788,9688,2588,139,303,370,383
"2013",9533,20349,"083","05",10094,1861,3800,20846,412,234,456,538,822
"2013",33897,63730,"085","05",27529,2477,9076,62158,4311,381,1287,2443,2733
"2013",7172,14401,"087","05",7469,1421,3518,14933,24,86,258,783,698
"2013",6710,15613,"089","05",9325,2289,3098,16027,34,86,176,325,671
