"coc.number","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","coc.state","sample","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total"
"ca-601",2018,7849,2893,493,1985,84,132,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-602",2014,4375,571,20,421,613,4,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-602",2015,5165,997,96,1088,20,10,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-602",2016,5348,323,27,634,493,18,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-602",2017,5347,621,214,1326,350,21,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-602",2018,6063,225,46,1379,400,79,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-603",2014,1448,59,41,620,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-603",2015,1616,85,0,688,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-603",2016,1915,35,0,740,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-603",2017,2323,41,4,795,270,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-603",2018,2246,54,24,682,242,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-604",2014,1814,214,42,463,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-604",2015,2046,335,42,470,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-604",2016,2410,225,0,469,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-604",2017,2859,116,29,469,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-604",2018,3480,89,42,477,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-606",2014,2107,52,0,468,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-606",2015,2103,21,0,398,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-606",2016,2386,262,0,457,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-606",2017,3041,74,13,426,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-606",2018,2858,85,13,425,0,0,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-607",2014,526,4,0,126,42,4,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-607",2015,538,4,0,126,42,4,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-607",2016,613,0,0,212,0,6,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-607",2017,716,61,0,249,0,14,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-607",2018,831,6,0,288,0,5,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-608",2014,2489,6,0,723,0,54,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-608",2015,2922,137,5,739,0,66,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-608",2016,2575,345,0,716,0,40,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-608",2017,2535,161,117,676,0,23,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-608",2018,2474,256,184,763,0,24,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-609",2014,1817,102,28,358,105,93,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-609",2015,2186,91,272,312,30,352,"ca","hic extra",NA,NA,NA,NA,NA,NA
