"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ca-500",2014,5351,611,358,925,9,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-500",2015,4863,295,310,906,0,88,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-500",2016,5040,293,116,912,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-500",2017,5804,1226,720,1090,135,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-500",2018,6687,588,498,1247,140,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-501",2014,9633,182,199,1679,120,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-501",2015,10327,64,678,1928,65,192,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-501",2016,10611,573,445,2139,66,108,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-501",2017,10768,456,516,2255,0,67,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-501",2018,12252,342,842,2174,0,67,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-502",2014,4401,330,256,1020,23,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-502",2015,4514,223,206,884,25,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-502",2016,4609,354,128,932,33,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-502",2017,5093,166,59,989,192,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-502",2018,5313,77,102,995,139,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-503",2014,4310,232,12,680,111,91,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-503",2015,4805,272,50,724,235,74,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-503",2016,4495,304,450,740,221,32,0,0,0,0,0,0,0,1,1,0,0,0,1,0
