"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ca-501",2013,0,0,0,0,0,0,1622,1073,0,54,6637,9386,0,1,1,0,0,0,1,0
"ca-501",2014,0,0,0,0,0,0,1657,575,526,54,6843,9755,0,1,1,0,0,0,1,0
"ca-501",2015,0,0,0,0,0,0,2038,465,753,19,7051,10326,0,1,1,0,0,0,1,0
"ca-501",2016,0,0,0,0,0,0,2146,479,774,19,7599,11017,0,1,1,0,0,0,1,0
"ca-501",2017,0,0,0,0,0,0,2287,453,176,19,8254,11189,0,1,1,0,0,0,1,0
"ca-501",2018,0,0,0,0,0,0,2116,551,227,19,9556,12469,0,1,1,0,0,0,1,0
"ca-501",2019,0,0,0,0,0,0,2631,752,664,20,10797,14864,0,1,1,0,0,0,1,0
"ca-502",2013,0,0,0,0,0,0,856,1208,182,0,2367,4613,0,1,1,0,0,0,1,0
"ca-502",2014,0,0,0,0,0,0,859,1151,35,0,2502,4547,0,1,1,0,0,0,1,0
"ca-502",2015,0,0,0,0,0,0,852,931,303,0,2594,4680,0,1,1,0,0,0,1,0
"ca-502",2016,0,0,0,0,0,0,874,929,387,0,2585,4872,0,1,1,0,0,0,1,0
"ca-502",2017,0,0,0,0,0,0,872,764,443,0,2871,4950,0,1,1,0,0,0,1,0
"ca-502",2018,0,0,0,0,0,0,872,752,602,12,2925,5163,0,1,1,0,0,0,1,0
"ca-502",2019,0,0,0,0,0,0,1160,565,606,32,3353,5716,0,1,1,0,0,0,1,0
"ca-503",2013,0,0,0,0,0,0,578,976,0,0,2301,3855,0,1,1,0,0,0,1,0
"ca-503",2014,0,0,0,0,0,0,621,936,114,0,2610,4281,0,1,1,0,0,0,1,0
"ca-503",2015,0,0,0,0,0,0,665,899,358,0,2787,4709,0,1,1,0,0,0,1,0
"ca-503",2016,0,0,0,0,0,0,700,735,101,0,2970,4506,0,1,1,0,0,0,1,0
"ca-503",2017,0,0,0,0,0,0,762,669,661,0,3028,5128,0,1,1,0,0,0,1,0
"ca-503",2018,0,0,0,0,0,0,891,602,732,0,2933,5158,0,1,1,0,0,0,1,0
"ca-503",2019,0,0,0,0,0,0,944,682,743,0,3266,6168,0,1,1,0,0,0,1,0
"ca-504",2013,0,0,0,0,0,0,547,529,56,0,876,2008,0,1,1,0,0,1,0,0
"ca-504",2014,0,0,0,0,0,0,557,418,106,0,804,1988,0,1,1,0,0,1,0,0
"ca-504",2015,0,0,0,0,0,0,558,460,52,0,979,2049,0,1,1,0,0,1,0,0
"ca-504",2016,0,0,0,0,0,0,594,409,164,0,917,2084,0,1,1,0,0,1,0,0
"ca-504",2017,0,0,0,0,0,0,605,331,330,0,952,2336,0,1,1,0,0,1,0,0
"ca-504",2018,0,0,0,0,0,0,701,324,280,0,960,2383,0,1,1,0,0,1,0,0
"ca-504",2019,0,0,0,0,0,0,699,275,495,0,764,2551,0,1,1,0,0,1,0,0
"ca-505",2013,0,0,0,0,0,0,394,278,64,0,977,1713,0,1,1,1,0,0,0,0
"ca-505",2014,0,0,0,0,0,0,388,275,96,0,954,1738,0,1,1,1,0,0,0,0
"ca-505",2015,0,0,0,0,0,0,527,354,140,0,870,1891,0,1,1,1,0,0,0,0
"ca-505",2016,0,0,0,0,0,0,418,173,248,0,867,1706,0,1,1,1,0,0,0,0
"ca-505",2017,0,0,0,0,0,0,459,218,183,0,1183,2043,0,1,1,1,0,0,0,0
"ca-505",2018,0,0,0,0,0,0,474,158,231,0,1092,1955,0,1,1,1,0,0,0,0
"ca-505",2019,0,0,0,0,0,0,474,186,126,0,1111,1897,0,1,1,1,0,0,0,0
"ca-506",2013,0,0,0,0,0,0,333,544,0,0,251,1128,0,1,1,0,1,0,0,0
"ca-506",2014,0,0,0,0,0,0,322,550,0,0,261,1133,0,1,1,0,1,0,0,0
"ca-506",2015,0,0,0,0,0,0,324,565,39,0,376,1304,0,1,1,0,1,0,0,0
"ca-506",2016,0,0,0,0,0,0,308,515,317,0,311,1451,0,1,1,0,1,0,0,0
"ca-506",2017,0,0,0,0,0,0,292,590,19,0,277,1178,0,1,1,0,1,0,0,0
"ca-506",2018,0,0,0,0,0,0,345,601,18,0,299,1308,0,1,1,0,1,0,0,0
"ca-506",2019,0,0,0,0,0,0,328,499,170,0,271,1268,0,1,1,0,1,0,0,0
"ca-507",2013,0,0,0,0,0,0,170,362,0,0,490,1022,0,0,1,1,0,0,0,0
"ca-507",2014,0,0,0,0,0,0,163,316,30,0,491,1000,0,0,1,1,0,0,0,0
"ca-507",2015,0,0,0,0,0,0,184,228,70,0,478,960,0,0,1,1,0,0,0,0
"ca-507",2016,0,0,0,0,0,0,178,211,70,0,504,963,0,0,1,1,0,0,0,0
"ca-507",2017,0,0,0,0,0,0,182,167,155,0,371,945,0,0,1,1,0,0,0,0
"ca-507",2018,0,0,0,0,0,0,194,208,112,0,549,1063,0,0,1,1,0,0,0,0
"ca-507",2019,0,0,0,0,0,0,204,199,92,0,436,1050,0,0,1,1,0,0,0,0
"ca-508",2013,0,0,0,0,0,0,322,279,0,0,302,903,0,0,1,1,0,0,0,0
"ca-508",2014,0,0,0,0,0,0,353,289,65,0,341,1048,0,0,1,1,0,0,0,0
"ca-508",2015,0,0,0,0,0,0,353,247,131,0,409,1140,0,0,1,1,0,0,0,0
"ca-508",2016,0,0,0,0,0,0,347,228,167,0,457,1199,0,0,1,1,0,0,0,0
"ca-508",2017,0,0,0,0,0,0,281,201,185,0,638,1305,0,0,1,1,0,0,0,0
"ca-508",2018,0,0,0,0,0,0,287,223,191,0,560,1261,0,0,1,1,0,0,0,0
"ca-508",2019,0,0,0,0,0,0,279,182,204,0,571,1236,0,0,1,1,0,0,0,0
"ca-509",2013,0,0,0,0,0,0,103,90,0,0,401,594,0,0,1,0,1,0,0,0
"ca-509",2014,0,0,0,0,0,0,103,87,0,0,441,631,0,0,1,0,1,0,0,0
"ca-509",2015,0,0,0,0,0,0,66,56,0,0,372,508,0,0,1,0,1,0,0,0
"ca-509",2016,0,0,0,0,0,0,73,64,0,0,370,507,0,0,1,0,1,0,0,0
"ca-509",2017,0,0,0,0,0,0,72,66,0,0,364,502,0,0,1,0,1,0,0,0
"ca-509",2018,0,0,0,0,0,0,72,112,0,0,254,438,0,0,1,0,1,0,0,0
"ca-509",2019,0,0,0,0,0,0,104,226,20,0,244,594,0,0,1,0,1,0,0,0
"ca-510",2013,0,0,0,0,0,0,258,276,24,0,380,938,0,1,1,1,0,0,0,0
"ca-510",2014,0,0,0,0,0,0,330,279,0,0,391,1000,0,1,1,1,0,0,0,0
"ca-510",2015,0,0,0,0,0,0,285,284,54,0,422,1045,0,1,1,1,0,0,0,0
"ca-510",2016,0,0,0,0,0,0,358,291,16,0,450,1115,0,1,1,1,0,0,0,0
"ca-510",2017,0,0,0,0,0,0,581,262,83,0,542,1468,0,1,1,1,0,0,0,0
"ca-510",2018,0,0,0,0,0,0,525,207,34,0,564,1330,0,1,1,1,0,0,0,0
"ca-510",2019,0,0,0,0,0,0,600,214,98,0,610,1522,0,1,1,1,0,0,0,0
"ca-511",2013,0,0,0,0,0,0,846,563,0,0,555,1964,0,1,1,1,0,0,0,0
"ca-511",2014,0,0,0,0,0,0,850,693,6,0,561,2130,0,1,1,1,0,0,0,0
"ca-511",2015,0,0,0,0,0,0,711,760,5,0,635,2111,0,1,1,1,0,0,0,0
"ca-511",2016,0,0,0,0,0,0,693,797,28,0,751,2289,0,1,1,1,0,0,0,0
"ca-511",2017,0,0,0,0,0,0,823,300,281,0,751,2175,0,1,1,1,0,0,0,0
"ca-511",2018,0,0,0,0,0,0,904,313,358,0,718,2293,0,1,1,1,0,0,0,0
"ca-511",2019,0,0,0,0,0,0,883,346,262,0,769,2260,0,1,1,1,0,0,0,0
"ca-512",2013,0,0,0,0,0,0,229,571,40,0,596,1436,0,1,1,1,0,0,0,0
"ca-512",2014,0,0,0,0,0,0,304,554,24,0,663,1545,0,1,1,1,0,0,0,0
"ca-512",2015,0,0,0,0,0,0,321,477,94,0,689,1581,0,1,1,1,0,0,0,0
"ca-512",2016,0,0,0,0,0,0,227,396,127,0,917,1667,0,1,1,1,0,0,0,0
"ca-512",2017,0,0,0,0,0,0,223,414,139,0,753,1842,0,1,1,1,0,0,0,0
"ca-512",2018,0,0,0,0,0,0,310,370,342,0,750,2047,0,1,1,1,0,0,0,0
"ca-512",2019,0,0,0,0,0,0,333,348,239,0,1054,2008,0,1,1,1,0,0,0,0
"ca-513",2013,0,0,0,0,0,0,237,298,0,0,180,715,0,0,1,1,0,0,0,0
"ca-513",2014,0,0,0,0,0,0,235,322,15,0,224,796,0,0,1,1,0,0,0,0
"ca-513",2015,0,0,0,0,0,0,237,322,63,0,229,851,0,0,1,1,0,0,0,0
"ca-513",2016,0,0,0,0,0,0,237,230,180,0,217,864,0,0,1,1,0,0,0,0
"ca-513",2017,0,0,0,0,0,0,268,191,104,0,256,819,0,0,1,1,0,0,0,0
"ca-513",2018,0,0,0,0,0,0,255,193,144,0,262,854,0,0,1,1,0,0,0,0
"ca-513",2019,0,0,0,0,0,0,234,171,105,0,260,770,0,0,1,1,0,0,0,0
"ca-514",2013,0,0,0,0,0,0,433,515,30,24,752,1754,0,1,1,0,0,0,1,0
"ca-514",2014,0,0,0,0,0,0,435,465,53,24,884,1861,0,1,1,0,0,0,1,0
"ca-514",2015,0,0,0,0,0,0,372,460,16,24,1039,1911,0,1,1,0,0,0,1,0
"ca-514",2016,0,0,0,0,0,0,412,241,157,24,1114,1948,0,1,1,0,0,0,1,0
"ca-514",2017,0,0,0,0,0,0,380,156,238,24,1253,2051,0,1,1,0,0,0,1,0
"ca-514",2018,0,0,0,0,0,0,425,122,526,24,1308,2405,0,1,1,0,0,0,1,0
"ca-514",2019,0,0,0,0,0,0,411,114,534,0,1353,2456,0,1,1,0,0,0,1,0
"ca-515",2013,0,0,0,0,0,0,198,310,0,0,179,687,0,0,1,1,0,0,0,0
"ca-515",2014,0,0,0,0,0,0,226,182,22,0,208,638,0,0,1,1,0,0,0,0
"ca-515",2015,0,0,0,0,0,0,240,191,53,0,217,701,0,0,1,1,0,0,0,0
"ca-515",2016,0,0,0,0,0,0,317,213,42,0,251,823,0,0,1,1,0,0,0,0
"ca-515",2017,0,0,0,0,0,0,355,131,69,0,217,772,0,0,1,1,0,0,0,0
"ca-515",2018,0,0,0,0,0,0,341,254,196,0,192,983,0,0,1,1,0,0,0,0
"ca-515",2019,0,0,0,0,0,0,250,217,182,0,188,945,0,0,1,1,0,0,0,0
"ca-516",2013,0,0,0,0,0,0,128,372,0,0,34,534,0,0,1,0,1,0,0,0
"ca-516",2014,0,0,0,0,0,0,192,393,0,0,34,619,0,0,1,0,1,0,0,0
"ca-516",2015,0,0,0,0,0,0,261,195,0,0,34,500,0,0,1,0,1,0,0,0
"ca-516",2016,0,0,0,0,0,0,324,218,0,0,44,586,0,0,1,0,1,0,0,0
"ca-516",2017,0,0,0,0,0,0,321,505,134,0,90,1050,0,0,1,0,1,0,0,0
"ca-516",2018,0,0,0,0,0,0,314,207,188,0,61,770,0,0,1,0,1,0,0,0
"ca-516",2019,0,0,0,0,0,0,483,304,58,0,36,932,0,0,1,0,1,0,0,0
"ca-517",2013,0,0,0,0,0,0,105,84,5,0,51,245,0,0,1,0,0,1,0,0
"ca-517",2014,0,0,0,0,0,0,104,70,27,0,52,253,0,0,1,0,0,1,0,0
"ca-517",2015,0,0,0,0,0,0,103,62,23,0,49,237,0,0,1,0,0,1,0,0
"ca-517",2016,0,0,0,0,0,0,97,59,28,0,51,235,0,0,1,0,0,1,0,0
"ca-517",2017,0,0,0,0,0,0,101,68,50,0,47,266,0,0,1,0,0,1,0,0
"ca-517",2018,0,0,0,0,0,0,85,66,38,0,57,246,0,0,1,0,0,1,0,0
"ca-517",2019,0,0,0,0,0,0,102,65,116,0,49,332,0,0,1,0,0,1,0,0
"ca-518",2013,0,0,0,0,0,0,223,306,0,0,131,660,0,0,1,1,0,0,0,0
"ca-518",2014,0,0,0,0,0,0,228,320,0,0,131,679,0,0,1,1,0,0,0,0
"ca-518",2015,0,0,0,0,0,0,142,239,0,0,104,485,0,0,1,1,0,0,0,0
"ca-518",2016,0,0,0,0,0,0,238,181,94,0,183,696,0,0,1,1,0,0,0,0
"ca-518",2017,0,0,0,0,0,0,152,214,102,0,217,685,0,0,1,1,0,0,0,0
"ca-518",2018,0,0,0,0,0,0,240,99,205,0,257,801,0,0,1,1,0,0,0,0
